电影名称,评分,人评价,评语,链接
头脑特工队,8.8,619919人评价,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
血战钢锯岭,8.7,787097人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
七武士,9.3,199741人评价,时代悲歌。,https://movie.douban.com/subject/1295399/
恐怖直播,8.7,655824人评价,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
惊魂记,9.0,297689人评价,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
黑客帝国3：矩阵革命,8.8,449792人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
你的名字。,8.5,1418553人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
电锯惊魂,8.8,536821人评价,真相就在眼前。,https://movie.douban.com/subject/1417598/
三块广告牌,8.7,825215人评价,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
达拉斯买家俱乐部,8.8,455273人评价,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
疯狂原始人,8.7,843994人评价,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
心迷宫,8.7,525257人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
谍影重重3,8.8,420999人评价,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
英雄本色,8.6,544980人评价,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
上帝之城,9.0,302917人评价,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
风之谷,8.9,356484人评价,动画片的圣经。,https://movie.douban.com/subject/1291585/
纵横四海,8.8,428561人评价,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
卢旺达饭店,8.9,331972人评价,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
海街日记,8.8,452084人评价,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
爱在午夜降临前,8.9,406119人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
绿里奇迹,8.9,332266人评价,天使暂时离开。,https://movie.douban.com/subject/1300374/
记忆碎片,8.7,607112人评价,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
小丑,8.7,1012616人评价,,https://movie.douban.com/subject/27119724/
疯狂的石头,8.6,827764人评价,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
岁月神偷,8.7,576348人评价,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
雨中曲,9.1,227873人评价,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
背靠背，脸对脸,9.5,135776人评价,,https://movie.douban.com/subject/1307856/
忠犬八公物语,9.2,197310人评价,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
2001太空漫游,8.9,332801人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
荒蛮故事,8.8,446586人评价,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
心灵奇旅,8.7,989659人评价,,https://movie.douban.com/subject/24733428/
小偷家族,8.7,816382人评价,我们组成了家。,https://movie.douban.com/subject/27622447/
无间道2,8.7,482909人评价,,https://movie.douban.com/subject/1307106/
无敌破坏王,8.7,543779人评价,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
爆裂鼓手,8.7,592062人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
冰川时代,8.6,619147人评价,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
恐怖游轮,8.5,869844人评价,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
贫民窟的百万富翁,8.6,748628人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
东邪西毒,8.6,579698人评价,电影诗。,https://movie.douban.com/subject/1292328/
牯岭街少年杀人事件,8.9,303242人评价,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
魔女宅急便,8.7,462972人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
遗愿清单,8.7,464907人评价,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
东京教父,9.0,232715人评价,,https://movie.douban.com/subject/1310177/
大佛普拉斯,8.7,462426人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
你看起来好像很好吃,8.9,335085人评价,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
真爱至上,8.6,734465人评价,爱，是个动词。,https://movie.douban.com/subject/1292401/
黑天鹅,8.6,783259人评价,黑暗之美。,https://movie.douban.com/subject/1978709/
可可西里,8.9,305226人评价,坚硬的信仰。,https://movie.douban.com/subject/1308857/
城市之光,9.3,147946人评价,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
源代码,8.5,839420人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
雨人,8.7,406086人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
海边的曼彻斯特,8.6,545755人评价,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
恋恋笔记本,8.5,675244人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
初恋这件小事,8.5,984010人评价,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
波西米亚狂想曲,8.6,608982人评价,,https://movie.douban.com/subject/5300054/
人工智能,8.7,449639人评价,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
青蛇,8.6,530152人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
虎口脱险,8.9,258907人评价,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
终结者2：审判日,8.8,343883人评价,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
疯狂的麦克斯4：狂暴之路,8.7,533933人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
罗生门,8.8,316708人评价,人生的N种可能性。,https://movie.douban.com/subject/1291879/
末路狂花,8.9,259973人评价,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
新龙门客栈,8.7,447290人评价,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
萤火虫之墓,8.7,406505人评价,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
千钧一发,8.8,301384人评价,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
崖上的波妞,8.6,501673人评价,,https://movie.douban.com/subject/1959877/
无耻混蛋,8.6,481301人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
花束般的恋爱,8.6,631311人评价,,https://movie.douban.com/subject/34874432/
彗星来的那一夜,8.6,584538人评价,小成本大魅力。,https://movie.douban.com/subject/25807345/
奇迹男孩,8.6,553815人评价,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
爱乐之城,8.4,904939人评价,,https://movie.douban.com/subject/25934014/
芙蓉镇,9.3,141062人评价,,https://movie.douban.com/subject/1297880/
二十二,8.7,292581人评价,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
黑客帝国2：重装上阵,8.7,408855人评价,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
血钻,8.7,382391人评价,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
战争之王,8.7,371158人评价,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
